tabla,campo,campo_original,descripcion,tipo_dato,unidad_o_formato,valores_posibles,registros,valores_faltantes,pct_faltantes,codigo_faltante_conocido
personas,mes,MES,"Mes del siniestro, nombre en espanol.",texto,Categoria,ABRIL | AGOSTO | DICIEMBRE | ENERO | FEBRERO | JULIO | JUNIO | MARZO | MAYO | NOVIEMBRE | OCTUBRE | SETIEMBRE,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,dia_semana,DIA,Dia de la semana del siniestro.,texto,Categoria,DOMINGO | JUEVES | LUNES | MARTES | MIÉRCOLES | SÁBADO | VIERNES,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,hora,HORA,Hora del siniestro.,entero,Entero 0-23,rango 0 a 23,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,clase_siniestro,CLASE DE SINIESTRO,Clase del siniestro. Redundante con siniestros.csv.,texto,Categoria,ATROPELLO | ATROPELLO FUGA | CAÍDA DE PASAJERO | CHOQUE | CHOQUE CON OBJETO FIJO | CHOQUE FUGA | DESPISTE | ESPECIAL | FERROVIARIO | INCENDIO | VOLCADURA,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,causa_factor_principal,CAUSA,Factor causal principal. Redundante con siniestros.csv.,texto,Categoria,EN PROCESO DE INVESTIGACIÓN | IMPERICIA DEL CONDUCTOR | IMPRUDENCIA DEL CONDUCTOR | IMPRUDENCIA DEL PASAJERO/OCUPANTE | IMPRUDENCIA DEL PEATÓN | INFRAESTRUCTURA Y ENTORNO VIAL | NEGLIGENCIA DEL CONDUCTOR,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,causa_especifica,CAUSA ESPECIFICA,Causa especifica. Redundante con siniestros.csv.,texto,Categoria,38 valores distintos,25412,198,0.8,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,tipo_via,TIPO DE VÍA,Tipo de via. Redundante con siniestros.csv.,texto,Categoria,ALAMEDA | AUTOPISTA | AVENIDA | CALLE | CARRETERA DEPARTAMENTAL | CARRETERA NACIONAL | CARRETERA PROVINCIAL | CARRETERA SIN CLASIFICAR | CARRETERA VECINAL | FERREO | JIRÓN | OTRO | PASAJE | PLAYA | PUENTE | SIN CLASIFICAR | VIA EXPRESA,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,cod_carretera,CÓDIGO DE CARRETERA,Codigo de carretera. Redundante con siniestros.csv.,texto,Codigo,1045 valores distintos,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
personas,red_vial,RED VIAL,Jerarquia de red vial. Redundante con siniestros.csv.,texto,Categoria,DEPARTAMENTAL | NACIONAL | PROVINCIAL | SIN CLASIFICAR | URBANO,25412,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_departamento_anio,departamento,departamento,"Departamento del Peru, normalizado sin tildes para poder unir con las bases detalladas.",texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,425,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_departamento_anio,anio,anio,Anio calendario.,entero,Entero,rango 2008 a 2024,425,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_departamento_anio,siniestros_totales,siniestros_totales,"Siniestros de transito de TODA gravedad, no solo fatales. Fuente: Anuarios Estadisticos PNP.",entero,Conteo de siniestros,rango 44 a 54362,425,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_causas,departamento,departamento,"Departamento del Peru, normalizado sin tildes.",texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,6770,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_causas,anio,anio,Anio calendario.,entero,Entero,rango 2008 a 2024,6770,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_causas,causa,causa,Causa atribuida al siniestro. ATENCION: la taxonomia cambia entre anios y no coincide con la de siniestros.csv; no armonizada a proposito.,texto,Categoria,DESACATO DE SEÑAL DE TRÁNSITO | DESACATO DE SEÑAL DE TRÁNSITO DE PARTE DEL CONDUCTOR | DESACATO DE SEÑAL DE TRÁNSITO DE PARTE DEL PEATÓN | EBRIEDAD DEL CONDUTOR | EBRIEDAD DEL PEATÓN | EXCESO DE CARGA | EXCESO DE VELOCIDAD | FACTOR AMBIENTAL | FALLA DE LUCES | FALLA MECÁNICA | FALTA DE LUCES | IMPRUDENCIA DEL CONDUCTOR | IMPRUDENCIA DEL PASAJERO | IMPRUDENCIA DEL PEATÓN | INVACIÓN DE CARRIL | NO HAY CERTEZA DE LA CAUSA | NO IDENTIFICA LA CAUSA | OTROS | PISTA EN MAL ESTADO | SEÑALIZACIÓN DEFECTUOSA | VEHÍCULO MAL ESTACIONADO,6770,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_causas,siniestros,siniestros,Siniestros de toda gravedad atribuidos a esa causa.,entero,Conteo de siniestros,rango 0 a 17712,6770,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_franja_horaria,departamento,departamento,"Departamento del Peru, normalizado sin tildes.",texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,3700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_franja_horaria,anio,anio,Anio calendario.,entero,Entero,rango 2008 a 2024,3700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_franja_horaria,franja_horaria,franja_horaria,Bloque de seis horas en que ocurrio el siniestro.,texto,Categoria,00:01 A 02:00 | 02:00 A 08:00 | 02:01 A 04:00 | 04:01 A 06:00 | 06:01 A 08:00 | 08:00 A 14:00 | 08:01 A 10:00 | 10:01 A 12:00 | 12:01 A 14:00 | 14:00 A 20:00 | 14:01 A 16:00 | 16:01 A 18:00 | 18:01 A 20:00 | 20:00 A 02:00 | 20:01 A 22:00 | 22:01 A 24:00,3700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_franja_horaria,siniestros,siniestros,Siniestros de toda gravedad en esa franja.,entero,Conteo de siniestros,rango 0 a 17635,3700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_fallecidos_demografia,departamento,departamento,"Departamento del Peru, normalizado sin tildes.",texto,Categoria,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,4700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_fallecidos_demografia,anio,anio,Anio calendario.,entero,Entero,rango 2008 a 2024,4700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_fallecidos_demografia,sexo,sexo,Sexo de la persona fallecida.,texto,Categoria,FEMENINO | MASCULINO,4700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_fallecidos_demografia,grupo_etario,grupo_etario,Grupo de edad. ATENCION: en 2008-2009 solo se distingue menor/mayor de 18 anios; desde 2010 se usan seis grupos. No armonizado a proposito.,texto,Categoria,DE 0 A 5 AÑOS | DE 12 A 17 AÑOS | DE 13 A 18 AÑOS | DE 18 A 29 AÑOS | DE 19 A 25 AÑOS | DE 26 A 60 AÑOS | DE 30 A 59 AÑOS | DE 6 A 11 AÑOS | DE 6 A 12 AÑOS | DE 60 A MÁS AÑOS | MAYOR DE 18 AÑOS | MENOR DE 18 AÑOS,4700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
historico_fallecidos_demografia,fallecidos,fallecidos,Personas fallecidas en siniestros de transito.,entero,Conteo de personas,rango 0 a 698,4700,0,0.0,"celda vacia; ademas 'NO SE CONOCE', 'NO REGISTRA', 'NO CORRESPONDE' y 'NO APLICA' funcionan como faltantes"
